Eccentricity,Asp_Ratio,Elongation,Solidity,Stoc_Convexity,Isop_Factor,Max_Ind_Depth,Lobedness,Ave_Intensity,Ave_Contrast,Smoothness,Thir_moment,Uniformity,Entropy,Class(Species)
0.6917414334811656,0.025932539902614328,0.25733588666991786,0.9832215425165719,1.0,0.9714792814420403,0.009279430620948438,0.0003445233945223002,0.2303718702211334,0.3821217081994382,0.20830803474046772,0.16926450895198292,0.09145006792537709,0.396282147217518,SP_1
0.7085171784081757,0.02878866865578935,0.30158314797854247,0.9756879560966975,0.9971002965982336,0.9237096426702778,0.01226550969060917,0.0004909687387977327,0.10308804668617669,0.2306473453384264,0.09731610296538874,0.08385882263780181,0.023190432889286978,0.20762868733015638,SP_1
0.7374295339314679,0.03138414099848042,0.3358628810676436,0.9678789905387598,1.0,0.9358283832445906,0.02355826219069202,0.0012015291553304308,0.03703296721054511,0.09713211665555085,0.030202699041455422,0.02338768558473274,0.010571257047797758,0.1079437595998582,SP_1
0.7042523507593889,0.025128387146866014,0.29278127341714943,0.964161372174905,1.0,0.9471776799729155,0.020598694323288813,0.0009913618344112192,0.05886459382024377,0.12965500515370154,0.043841014148223584,0.03129523104499912,0.02026302992216229,0.16480248907093065,SP_1
0.8007100484330162,0.04237607728739864,0.40085401972095686,0.9667578040480732,1.0,0.8676171862977439,0.023408881762587083,0.001190564145191336,0.015707136243247304,0.04819822550981223,0.013006139742711574,0.011179913237593795,0.005660840734153332,0.06803197983537475,SP_1
0.6951782493789912,0.02676442206373327,0.2797925612265531,0.9875489289718525,1.0,0.9828926984908641,0.010750292515428755,0.00041449126301746226,0.029437952771937875,0.10150973140120051,0.03193527635789184,0.03029376199817435,0.006102648459772569,0.06745697294316884,SP_1
0.7980105032723478,0.041388910456204166,0.40080644202062493,0.9719900076712759,0.994184023462743,0.8839935161531911,0.015760909742102078,0.0006844248290745767,0.07192694134763565,0.19067483174680167,0.07415208610923157,0.06908377085576206,0.01180347040309902,0.14557914221574575,SP_1
0.7517212436055941,0.03410162272480228,0.3385272322862275,0.9827691339326109,0.9971002965982336,0.9358796795009898,0.011533392643651203,0.0004534656281700938,0.10693941925610873,0.22745407142424057,0.09536955860265624,0.07568466987723207,0.04774388016918027,0.19705801268165885,SP_1
0.8096480382927078,0.04510465077586876,0.41549605699808506,0.9774189106788097,1.0,0.8883024016907245,0.016156538452714468,0.0007078261038777592,0.011973190137685222,0.029107298045635527,0.007386031286428235,0.005369362761185496,0.008856264616742552,0.06599188688905518,SP_1
0.8951941290564068,0.07675499406590724,0.5658772733219939,0.9664627549715769,0.9971002965982336,0.7512516286561405,0.028374124046935026,0.001580030201524256,0.010706815744411066,0.036104205824693314,0.009375646937700854,0.007763753451854037,0.007281599059898714,0.04388169036272696,SP_1
